Country or region,2000,2021,1990–2023,Absolute Change,Relative Change
Cambodia,206.4,127.5,,-78.9,-38%
Indonesia,102.4,30,,-72.3,-71%
Laos,295.1,202.5,,-92.6,-31%
Myanmar,317.7,207.9,,-109.9,-35%
Thailand,53.2,4.6,,-48.6,-91%
Vietnam,133.9,39.4,,-94.5,-71%
