Country or region,2000,2023,1990–2023,Absolute Change (pp),Relative Change
Thailand,59.90%,86.80%,,26.9,45%
Vietnam,13.20%,98.70%,,85.5,648%
Indonesia,6.70%,90.60%,,83.9,1252%
Cambodia,3.40%,58.00%,,54.6,1606%
Myanmar,1.70%,53.50%,,51.8,3047%
Laos,1.30%,11.10%,,9.8,754%
